Model,result,ic3_k,ic3_total_time,ic3_frame_sizes,ic3_solver,ic3_add_sml,ic3_extra_sml,ic3_extra_time_c,ic3_extra_time_c_n1,ic3_extra_time_F,ic3_assert_time,ic3_check_sat_time,ic3_get_unsat_core_time,get_value_time,f_sml,f_reuse_sml,sml_ind_length,sml_ind_mem,sml_init_length,sml_init_mem,i_sml,i_reuse_sml,ic3_extra_time_n0,max_size
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5,valid,2,0.02,1,12,0,0,0,0,0,0.003,0.002,0,0.001,0,0,0,0.021,1,4.62,3,0,0,35088
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e1_2552_e7_1169,valid,2,0.034,2,21,0,0,0,0,0,0.007,0.003,0.001,0.002,0,0,0,0.021,1,4.839,7,1,0,35000
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2229,valid,2,0.032,2,21,0,0,0,0,0,0.007,0.004,0,0.002,0,0,0,0.021,1,4.711,7,1,0,34992
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e1_2678,valid,2,0.021,1,12,0,0,0,0,0,0.003,0.002,0,0.001,0,0,0,0.021,1,4.608,3,0,0,34920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e2_1492,valid,2,0.027,1,12,0,0,0,0,0,0.003,0.003,0,0.001,0,0,0,0.021,1,4.608,3,0,0,34968
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e3_1882,valid,2,0.022,1,12,0,0,0,0,0,0.004,0.002,0,0.001,0,0,0,0.021,1,4.608,3,0,0,37056
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_5_e2_2884_e7_3594,valid,2,0.034,2,21,0,0,0,0,0,0.007,0.004,0,0.002,0,0,0,0.021,1,4.716,7,1,0,35096
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8,valid,2,0.02,1,11,0,0,0,0,0,0.002,0.002,0,0.002,0,0,0,0.021,2,5.405,3,0,0,34772
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711,valid,2,0.022,1,11,0,0,0,0,0,0.003,0.002,0,0.002,0,0,0,0.021,2,5.404,3,0,0,34880
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e1_1489,valid,2,0.02,1,11,0,0,0,0,0,0.003,0.002,0,0.002,0,0,0,0.021,2,5.404,3,0,0,35052
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e2_2673,valid,2,0.023,1,11,0,0,0,0,0,0.003,0.002,0,0.002,0,0,0,0.021,2,5.404,3,0,0,35044
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_8_e2_1711_e3_1753,valid,2,0.038,1,11,0,0,0,0,0,0.006,0.004,0,0.004,0,0,0,0.021,2,5.404,3,0,0,34968
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9,valid,2,0.028,1,14,0,0,0,0,0,0.005,0.003,0,0.002,0,0,0,0.021,1,4.904,4,0,0,34852
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_9_e7_170_e3_3647,valid,2,0.022,1,14,0,0,0,0,0,0.004,0.003,0,0.001,0,0,0,0.021,1,4.918,4,0,0,36920
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3,valid,2,0.056,4,36,0,0,0,0,0,0.014,0.009,0,0.004,0,0,0,0.021,2,6.177,14,3,0,39208
experimental-result-main/kind2-benchmarks-master/FMCAD08/Int/memory1/FIREFLY_a3_e1_3233_e2_2392,valid,2,0.055,4,36,0,0,0,0,0,0.013,0.007,0,0.005,0,0,0,0.021,2,6.204,14,3,0,39124
